"연령계층별","교육정도별",2018,2019,2020,2021,2022,2023
"계","계",3.8,3.8,4.0,3.7,2.9,2.7
"계","초졸이하",3.0,3.5,3.8,4.0,3.2,3.0
"계","중졸",3.5,4.0,4.5,4.1,3.0,3.0
"계","고졸",4.1,4.1,4.5,4.0,3.1,2.8
"계","대졸이상",3.8,3.5,3.5,3.3,2.6,2.6
"계","전문대졸",4.2,4.0,4.4,4.2,3.2,2.9
"계","대학교졸이상",3.6,3.3,3.1,3.0,2.4,2.4
"15 - 29세","계",9.5,8.9,9.0,7.8,6.4,5.9
"15 - 29세","초졸이하",8.9,1.1,3.0,9.6,8.5,0.0
"15 - 29세","중졸",10.3,10.5,9.3,9.5,6.5,9.1
"15 - 29세","고졸",9.5,8.8,9.2,7.8,6.3,5.2
"15 - 29세","대졸이상",9.4,8.9,8.7,7.6,6.4,6.3
"15 - 29세","전문대졸",8.0,7.7,9.1,8.4,5.2,5.2
"15 - 29세","대학교졸이상",10.2,9.7,8.5,7.1,7.1,7.0
"15 - 19세","계",9.3,8.6,8.7,8.7,6.5,5.5
"15 - 19세","초졸이하",33.3,0.0,0.0,0.0,0.0,0.0
"15 - 19세","중졸",12.0,10.2,6.3,8.5,5.4,7.1
"15 - 19세","고졸",8.7,8.3,9.2,8.8,6.7,5.1
"15 - 19세","대졸이상",-,33.3,-,0.0,-,-
"15 - 19세","전문대졸",-,50.0,-,0.0,-,-
"15 - 19세","대학교졸이상",-,0.0,-,-,-,-
"20 - 29세","계",9.5,8.9,9.0,7.7,6.4,5.9
"20 - 29세","초졸이하",8.3,1.1,3.3,10.0,9.2,0.0
"20 - 29세","중졸",9.3,10.7,10.7,10.0,7.3,11.7
"20 - 29세","고졸",9.6,8.9,9.3,7.7,6.3,5.2
"20 - 29세","대졸이상",9.4,8.9,8.7,7.6,6.4,6.3
"20 - 29세","전문대졸",8.0,7.7,9.1,8.4,5.2,5.2
"20 - 29세","대학교졸이상",10.2,9.7,8.5,7.1,7.1,7.0
"30 - 39세","계",3.4,3.3,3.5,3.3,2.7,2.6
"30 - 39세","초졸이하",1.0,3.2,1.4,0.4,0.4,3.1
"30 - 39세","중졸",7.1,5.3,6.4,4.9,2.3,4.5
"30 - 39세","고졸",4.2,4.3,4.7,3.8,3.7,3.1
"30 - 39세","대졸이상",3.0,2.9,3.0,3.1,2.5,2.4
"30 - 39세","전문대졸",3.3,3.3,3.6,3.7,3.3,3.3
"30 - 39세","대학교졸이상",2.9,2.8,2.8,2.8,2.1,2.1
"40 - 49세","계",2.5,2.3,2.5,2.4,2.0,1.9
"40 - 49세","초졸이하",6.2,6.8,6.0,3.4,0.5,2.4
"40 - 49세","중졸",3.8,6.7,7.2,5.2,4.9,4.5
"40 - 49세","고졸",2.9,2.8,3.1,3.2,2.5,2.7
"40 - 49세","대졸이상",2.0,1.7,1.9,1.7,1.6,1.5
"40 - 49세","전문대졸",2.5,2.2,2.7,2.3,2.4,1.8
"40 - 49세","대학교졸이상",1.8,1.5,1.6,1.5,1.3,1.3
"50 - 59세","계",2.5,2.5,2.9,2.6,1.7,1.7
"50 - 59세","초졸이하",2.5,3.9,4.9,4.7,2.8,3.3
"50 - 59세","중졸",2.9,3.0,4.3,4.2,3.2,2.7
"50 - 59세","고졸",2.6,2.8,3.2,2.6,1.8,1.8
"50 - 59세","대졸이상",2.2,1.9,2.0,2.1,1.3,1.5
"50 - 59세","전문대졸",2.9,2.3,1.9,2.5,1.7,1.7
"50 - 59세","대학교졸이상",2.1,1.8,2.0,2.0,1.1,1.4
"60세이상","계",3.1,3.4,3.6,3.8,2.8,2.6
"60세이상","초졸이하",3.0,3.3,3.7,4.0,3.3,3.0
"60세이상","중졸",3.0,3.6,3.8,3.6,2.7,2.7
"60세이상","고졸",3.2,3.5,3.7,3.7,2.6,2.3
"60세이상","대졸이상",3.4,3.2,2.7,3.7,2.5,2.3
"60세이상","전문대졸",4.7,4.1,4.0,3.9,3.5,3.1
"60세이상","대학교졸이상",3.1,3.0,2.4,3.7,2.3,2.1
"15 - 24세","계",10.5,10.4,10.5,8.5,7.1,5.8
"15 - 24세","초졸이하",13.0,4.8,7.7,25.0,12.8,0.0
"15 - 24세","중졸",12.3,10.5,11.0,10.1,6.5,9.3
"15 - 24세","고졸",9.5,9.1,9.8,7.7,6.4,5.1
"15 - 24세","대졸이상",12.5,13.2,12.2,10.3,8.5,7.0
"15 - 24세","전문대졸",10.9,11.7,10.7,10.5,6.3,5.9
"15 - 24세","대학교졸이상",14.5,15.3,13.9,9.8,11.3,8.2
